datetime,respondent,respondent-name,type-name,demand_mwh
2023-01-01 00:00:00,CISO,California Independent System Operator,Demand,24007.0
2023-01-01 01:00:00,CISO,California Independent System Operator,Demand,24546.0
2023-01-01 02:00:00,CISO,California Independent System Operator,Demand,25344.0
2023-01-01 03:00:00,CISO,California Independent System Operator,Demand,26468.0
2023-01-01 04:00:00,CISO,California Independent System Operator,Demand,26047.0
2023-01-01 05:00:00,CISO,California Independent System Operator,Demand,25240.0
2023-01-01 06:00:00,CISO,California Independent System Operator,Demand,24466.0
2023-01-01 07:00:00,CISO,California Independent System Operator,Demand,23858.0
2023-01-01 08:00:00,CISO,California Independent System Operator,Demand,23133.0
2023-01-01 09:00:00,CISO,California Independent System Operator,Demand,22049.0
2023-01-01 10:00:00,CISO,California Independent System Operator,Demand,21298.0
2023-01-01 11:00:00,CISO,California Independent System Operator,Demand,20807.0
2023-01-01 12:00:00,CISO,California Independent System Operator,Demand,20301.0
2023-01-01 13:00:00,CISO,California Independent System Operator,Demand,19927.0
2023-01-01 14:00:00,CISO,California Independent System Operator,Demand,19979.0
2023-01-01 15:00:00,CISO,California Independent System Operator,Demand,20278.0
2023-01-01 16:00:00,CISO,California Independent System Operator,Demand,20653.0
2023-01-01 17:00:00,CISO,California Independent System Operator,Demand,20607.0
2023-01-01 18:00:00,CISO,California Independent System Operator,Demand,20033.0
2023-01-01 19:00:00,CISO,California Independent System Operator,Demand,19461.0
2023-01-01 20:00:00,CISO,California Independent System Operator,Demand,19279.0
2023-01-01 21:00:00,CISO,California Independent System Operator,Demand,19297.0
2023-01-01 22:00:00,CISO,California Independent System Operator,Demand,19275.0
2023-01-01 23:00:00,CISO,California Independent System Operator,Demand,19596.0
2023-01-02 00:00:00,CISO,California Independent System Operator,Demand,19644.0
2023-01-02 01:00:00,CISO,California Independent System Operator,Demand,20649.0
2023-01-02 02:00:00,CISO,California Independent System Operator,Demand,22399.0
2023-01-02 03:00:00,CISO,California Independent System Operator,Demand,24778.0
2023-01-02 04:00:00,CISO,California Independent System Operator,Demand,25166.0
2023-01-02 05:00:00,CISO,California Independent System Operator,Demand,25110.0
2023-01-02 06:00:00,CISO,California Independent System Operator,Demand,24640.0
2023-01-02 07:00:00,CISO,California Independent System Operator,Demand,24259.0
2023-01-02 08:00:00,CISO,California Independent System Operator,Demand,23210.0
2023-01-02 09:00:00,CISO,California Independent System Operator,Demand,21897.0
2023-01-02 10:00:00,CISO,California Independent System Operator,Demand,21483.0
2023-01-02 11:00:00,CISO,California Independent System Operator,Demand,20773.0
2023-01-02 12:00:00,CISO,California Independent System Operator,Demand,20329.0
2023-01-02 13:00:00,CISO,California Independent System Operator,Demand,20335.0
2023-01-02 14:00:00,CISO,California Independent System Operator,Demand,20527.0
2023-01-02 15:00:00,CISO,California Independent System Operator,Demand,21468.0
2023-01-02 16:00:00,CISO,California Independent System Operator,Demand,22710.0
2023-01-02 17:00:00,CISO,California Independent System Operator,Demand,23098.0
2023-01-02 18:00:00,CISO,California Independent System Operator,Demand,22971.0
2023-01-02 19:00:00,CISO,California Independent System Operator,Demand,23346.0
2023-01-02 20:00:00,CISO,California Independent System Operator,Demand,23474.0
2023-01-02 21:00:00,CISO,California Independent System Operator,Demand,24281.0
2023-01-02 22:00:00,CISO,California Independent System Operator,Demand,24429.0
2023-01-02 23:00:00,CISO,California Independent System Operator,Demand,25190.0
2023-01-03 00:00:00,CISO,California Independent System Operator,Demand,25918.0
2023-01-03 01:00:00,CISO,California Independent System Operator,Demand,26121.0
2023-01-03 02:00:00,CISO,California Independent System Operator,Demand,27310.0
2023-01-03 03:00:00,CISO,California Independent System Operator,Demand,28567.0
2023-01-03 04:00:00,CISO,California Independent System Operator,Demand,28396.0
2023-01-03 05:00:00,CISO,California Independent System Operator,Demand,27724.0
2023-01-03 06:00:00,CISO,California Independent System Operator,Demand,26872.0
2023-01-03 07:00:00,CISO,California Independent System Operator,Demand,26019.0
2023-01-03 08:00:00,CISO,California Independent System Operator,Demand,24535.0
2023-01-03 09:00:00,CISO,California Independent System Operator,Demand,23243.0
2023-01-03 10:00:00,CISO,California Independent System Operator,Demand,22414.0
2023-01-03 11:00:00,CISO,California Independent System Operator,Demand,21928.0
2023-01-03 12:00:00,CISO,California Independent System Operator,Demand,21828.0
2023-01-03 13:00:00,CISO,California Independent System Operator,Demand,21641.0
2023-01-03 14:00:00,CISO,California Independent System Operator,Demand,21683.0
2023-01-03 15:00:00,CISO,California Independent System Operator,Demand,22990.0
2023-01-03 16:00:00,CISO,California Independent System Operator,Demand,24875.0
2023-01-03 17:00:00,CISO,California Independent System Operator,Demand,26168.0
2023-01-03 18:00:00,CISO,California Independent System Operator,Demand,26992.0
2023-01-03 19:00:00,CISO,California Independent System Operator,Demand,26883.0
2023-01-03 20:00:00,CISO,California Independent System Operator,Demand,26827.0
2023-01-03 21:00:00,CISO,California Independent System Operator,Demand,26337.0
2023-01-03 22:00:00,CISO,California Independent System Operator,Demand,26407.0
2023-01-03 23:00:00,CISO,California Independent System Operator,Demand,26301.0
2023-01-04 00:00:00,CISO,California Independent System Operator,Demand,26099.0
2023-01-04 01:00:00,CISO,California Independent System Operator,Demand,26638.0
2023-01-04 02:00:00,CISO,California Independent System Operator,Demand,27617.0
2023-01-04 03:00:00,CISO,California Independent System Operator,Demand,29102.0
2023-01-04 04:00:00,CISO,California Independent System Operator,Demand,28764.0
2023-01-04 05:00:00,CISO,California Independent System Operator,Demand,28294.0
2023-01-04 06:00:00,CISO,California Independent System Operator,Demand,27589.0
2023-01-04 07:00:00,CISO,California Independent System Operator,Demand,26630.0
2023-01-04 08:00:00,CISO,California Independent System Operator,Demand,25085.0
2023-01-04 09:00:00,CISO,California Independent System Operator,Demand,23884.0
2023-01-04 10:00:00,CISO,California Independent System Operator,Demand,23211.0
2023-01-04 11:00:00,CISO,California Independent System Operator,Demand,22651.0
2023-01-04 12:00:00,CISO,California Independent System Operator,Demand,22159.0
2023-01-04 13:00:00,CISO,California Independent System Operator,Demand,21837.0
2023-01-04 14:00:00,CISO,California Independent System Operator,Demand,22127.0
2023-01-04 15:00:00,CISO,California Independent System Operator,Demand,22685.0
2023-01-04 16:00:00,CISO,California Independent System Operator,Demand,24344.0
2023-01-04 17:00:00,CISO,California Independent System Operator,Demand,25546.0
2023-01-04 18:00:00,CISO,California Independent System Operator,Demand,26359.0
2023-01-04 19:00:00,CISO,California Independent System Operator,Demand,26236.0
2023-01-04 20:00:00,CISO,California Independent System Operator,Demand,26413.0
2023-01-04 21:00:00,CISO,California Independent System Operator,Demand,26235.0
2023-01-04 22:00:00,CISO,California Independent System Operator,Demand,26001.0
2023-01-04 23:00:00,CISO,California Independent System Operator,Demand,25879.0
2023-01-05 00:00:00,CISO,California Independent System Operator,Demand,25564.0
2023-01-05 01:00:00,CISO,California Independent System Operator,Demand,25674.0
2023-01-05 02:00:00,CISO,California Independent System Operator,Demand,26690.0
2023-01-05 03:00:00,CISO,California Independent System Operator,Demand,28147.0
2023-01-05 04:00:00,CISO,California Independent System Operator,Demand,28017.0
2023-01-05 05:00:00,CISO,California Independent System Operator,Demand,27209.0
2023-01-05 06:00:00,CISO,California Independent System Operator,Demand,26516.0
2023-01-05 07:00:00,CISO,California Independent System Operator,Demand,25527.0
2023-01-05 08:00:00,CISO,California Independent System Operator,Demand,24112.0
2023-01-05 09:00:00,CISO,California Independent System Operator,Demand,23450.0
2023-01-05 10:00:00,CISO,California Independent System Operator,Demand,22655.0
2023-01-05 11:00:00,CISO,California Independent System Operator,Demand,22219.0
2023-01-05 12:00:00,CISO,California Independent System Operator,Demand,21701.0
2023-01-05 13:00:00,CISO,California Independent System Operator,Demand,21073.0
2023-01-05 14:00:00,CISO,California Independent System Operator,Demand,20951.0
2023-01-05 15:00:00,CISO,California Independent System Operator,Demand,21804.0
2023-01-05 16:00:00,CISO,California Independent System Operator,Demand,23725.0
2023-01-05 17:00:00,CISO,California Independent System Operator,Demand,25103.0
2023-01-05 18:00:00,CISO,California Independent System Operator,Demand,25942.0
2023-01-05 19:00:00,CISO,California Independent System Operator,Demand,26402.0
2023-01-05 20:00:00,CISO,California Independent System Operator,Demand,27238.0
2023-01-05 21:00:00,CISO,California Independent System Operator,Demand,27090.0
2023-01-05 22:00:00,CISO,California Independent System Operator,Demand,27185.0
2023-01-05 23:00:00,CISO,California Independent System Operator,Demand,26226.0
2023-01-06 00:00:00,CISO,California Independent System Operator,Demand,25477.0
2023-01-06 01:00:00,CISO,California Independent System Operator,Demand,25253.0
2023-01-06 02:00:00,CISO,California Independent System Operator,Demand,25931.0
2023-01-06 03:00:00,CISO,California Independent System Operator,Demand,27614.0
2023-01-06 04:00:00,CISO,California Independent System Operator,Demand,27834.0
2023-01-06 05:00:00,CISO,California Independent System Operator,Demand,27301.0
2023-01-06 06:00:00,CISO,California Independent System Operator,Demand,26638.0
2023-01-06 07:00:00,CISO,California Independent System Operator,Demand,25800.0
2023-01-06 08:00:00,CISO,California Independent System Operator,Demand,24429.0
2023-01-06 09:00:00,CISO,California Independent System Operator,Demand,23001.0
2023-01-06 10:00:00,CISO,California Independent System Operator,Demand,22409.0
2023-01-06 11:00:00,CISO,California Independent System Operator,Demand,21903.0
2023-01-06 12:00:00,CISO,California Independent System Operator,Demand,21858.0
2023-01-06 13:00:00,CISO,California Independent System Operator,Demand,21645.0
2023-01-06 14:00:00,CISO,California Independent System Operator,Demand,21769.0
2023-01-06 15:00:00,CISO,California Independent System Operator,Demand,22902.0
2023-01-06 16:00:00,CISO,California Independent System Operator,Demand,24434.0
2023-01-06 17:00:00,CISO,California Independent System Operator,Demand,25719.0
2023-01-06 18:00:00,CISO,California Independent System Operator,Demand,25628.0
2023-01-06 19:00:00,CISO,California Independent System Operator,Demand,24787.0
2023-01-06 20:00:00,CISO,California Independent System Operator,Demand,23766.0
2023-01-06 21:00:00,CISO,California Independent System Operator,Demand,23248.0
2023-01-06 22:00:00,CISO,California Independent System Operator,Demand,22598.0
2023-01-06 23:00:00,CISO,California Independent System Operator,Demand,22741.0
2023-01-07 00:00:00,CISO,California Independent System Operator,Demand,23297.0
2023-01-07 01:00:00,CISO,California Independent System Operator,Demand,23581.0
2023-01-07 02:00:00,CISO,California Independent System Operator,Demand,25216.0
2023-01-07 03:00:00,CISO,California Independent System Operator,Demand,27226.0
2023-01-07 04:00:00,CISO,California Independent System Operator,Demand,27141.0
2023-01-07 05:00:00,CISO,California Independent System Operator,Demand,26705.0
2023-01-07 06:00:00,CISO,California Independent System Operator,Demand,26243.0
2023-01-07 07:00:00,CISO,California Independent System Operator,Demand,25581.0
2023-01-07 08:00:00,CISO,California Independent System Operator,Demand,24342.0
2023-01-07 09:00:00,CISO,California Independent System Operator,Demand,23140.0
2023-01-07 10:00:00,CISO,California Independent System Operator,Demand,22150.0
2023-01-07 11:00:00,CISO,California Independent System Operator,Demand,21850.0
2023-01-07 12:00:00,CISO,California Independent System Operator,Demand,21215.0
2023-01-07 13:00:00,CISO,California Independent System Operator,Demand,20855.0
2023-01-07 14:00:00,CISO,California Independent System Operator,Demand,20963.0
2023-01-07 15:00:00,CISO,California Independent System Operator,Demand,21615.0
2023-01-07 16:00:00,CISO,California Independent System Operator,Demand,22414.0
2023-01-07 17:00:00,CISO,California Independent System Operator,Demand,22735.0
2023-01-07 18:00:00,CISO,California Independent System Operator,Demand,23365.0
2023-01-07 19:00:00,CISO,California Independent System Operator,Demand,22958.0
2023-01-07 20:00:00,CISO,California Independent System Operator,Demand,22809.0
2023-01-07 21:00:00,CISO,California Independent System Operator,Demand,22013.0
2023-01-07 22:00:00,CISO,California Independent System Operator,Demand,21896.0
2023-01-07 23:00:00,CISO,California Independent System Operator,Demand,21764.0
2023-01-08 00:00:00,CISO,California Independent System Operator,Demand,22131.0
2023-01-08 01:00:00,CISO,California Independent System Operator,Demand,22930.0
2023-01-08 02:00:00,CISO,California Independent System Operator,Demand,24079.0
2023-01-08 03:00:00,CISO,California Independent System Operator,Demand,25792.0
2023-01-08 04:00:00,CISO,California Independent System Operator,Demand,25704.0
2023-01-08 05:00:00,CISO,California Independent System Operator,Demand,25348.0
2023-01-08 06:00:00,CISO,California Independent System Operator,Demand,24889.0
2023-01-08 07:00:00,CISO,California Independent System Operator,Demand,24303.0
2023-01-08 08:00:00,CISO,California Independent System Operator,Demand,23633.0
2023-01-08 09:00:00,CISO,California Independent System Operator,Demand,22588.0
2023-01-08 10:00:00,CISO,California Independent System Operator,Demand,21750.0
2023-01-08 11:00:00,CISO,California Independent System Operator,Demand,20841.0
2023-01-08 12:00:00,CISO,California Independent System Operator,Demand,20439.0
2023-01-08 13:00:00,CISO,California Independent System Operator,Demand,19978.0
2023-01-08 14:00:00,CISO,California Independent System Operator,Demand,19891.0
2023-01-08 15:00:00,CISO,California Independent System Operator,Demand,20303.0
2023-01-08 16:00:00,CISO,California Independent System Operator,Demand,20886.0
2023-01-08 17:00:00,CISO,California Independent System Operator,Demand,21408.0
2023-01-08 18:00:00,CISO,California Independent System Operator,Demand,21443.0
2023-01-08 19:00:00,CISO,California Independent System Operator,Demand,20838.0
2023-01-08 20:00:00,CISO,California Independent System Operator,Demand,20406.0
2023-01-08 21:00:00,CISO,California Independent System Operator,Demand,20128.0
2023-01-08 22:00:00,CISO,California Independent System Operator,Demand,20137.0
2023-01-08 23:00:00,CISO,California Independent System Operator,Demand,20606.0
2023-01-09 00:00:00,CISO,California Independent System Operator,Demand,21262.0
2023-01-09 01:00:00,CISO,California Independent System Operator,Demand,22023.0
2023-01-09 02:00:00,CISO,California Independent System Operator,Demand,23346.0
2023-01-09 03:00:00,CISO,California Independent System Operator,Demand,25549.0
2023-01-09 04:00:00,CISO,California Independent System Operator,Demand,25784.0
2023-01-09 05:00:00,CISO,California Independent System Operator,Demand,25483.0
2023-01-09 06:00:00,CISO,California Independent System Operator,Demand,24865.0
2023-01-09 07:00:00,CISO,California Independent System Operator,Demand,23825.0
2023-01-09 08:00:00,CISO,California Independent System Operator,Demand,22573.0
2023-01-09 09:00:00,CISO,California Independent System Operator,Demand,21183.0
2023-01-09 10:00:00,CISO,California Independent System Operator,Demand,20897.0
2023-01-09 11:00:00,CISO,California Independent System Operator,Demand,20758.0
2023-01-09 12:00:00,CISO,California Independent System Operator,Demand,20933.0
2023-01-09 13:00:00,CISO,California Independent System Operator,Demand,20974.0
2023-01-09 14:00:00,CISO,California Independent System Operator,Demand,21132.0
2023-01-09 15:00:00,CISO,California Independent System Operator,Demand,21885.0
2023-01-09 16:00:00,CISO,California Independent System Operator,Demand,23885.0
2023-01-09 17:00:00,CISO,California Independent System Operator,Demand,25814.0
2023-01-09 18:00:00,CISO,California Independent System Operator,Demand,26183.0
2023-01-09 19:00:00,CISO,California Independent System Operator,Demand,26593.0
2023-01-09 20:00:00,CISO,California Independent System Operator,Demand,26531.0
2023-01-09 21:00:00,CISO,California Independent System Operator,Demand,26928.0
2023-01-09 22:00:00,CISO,California Independent System Operator,Demand,25993.0
2023-01-09 23:00:00,CISO,California Independent System Operator,Demand,25551.0
2023-01-10 00:00:00,CISO,California Independent System Operator,Demand,25506.0
2023-01-10 01:00:00,CISO,California Independent System Operator,Demand,25913.0
2023-01-10 02:00:00,CISO,California Independent System Operator,Demand,26785.0
2023-01-10 03:00:00,CISO,California Independent System Operator,Demand,27985.0
2023-01-10 04:00:00,CISO,California Independent System Operator,Demand,27911.0
2023-01-10 05:00:00,CISO,California Independent System Operator,Demand,27314.0
2023-01-10 06:00:00,CISO,California Independent System Operator,Demand,26570.0
2023-01-10 07:00:00,CISO,California Independent System Operator,Demand,25712.0
2023-01-10 08:00:00,CISO,California Independent System Operator,Demand,24208.0
2023-01-10 09:00:00,CISO,California Independent System Operator,Demand,22770.0
2023-01-10 10:00:00,CISO,California Independent System Operator,Demand,22130.0
2023-01-10 11:00:00,CISO,California Independent System Operator,Demand,21528.0
2023-01-10 12:00:00,CISO,California Independent System Operator,Demand,21162.0
2023-01-10 13:00:00,CISO,California Independent System Operator,Demand,20912.0
2023-01-10 14:00:00,CISO,California Independent System Operator,Demand,21231.0
2023-01-10 15:00:00,CISO,California Independent System Operator,Demand,22155.0
2023-01-10 16:00:00,CISO,California Independent System Operator,Demand,23913.0
2023-01-10 17:00:00,CISO,California Independent System Operator,Demand,25578.0
2023-01-10 18:00:00,CISO,California Independent System Operator,Demand,26361.0
2023-01-10 19:00:00,CISO,California Independent System Operator,Demand,26603.0
2023-01-10 20:00:00,CISO,California Independent System Operator,Demand,26430.0
2023-01-10 21:00:00,CISO,California Independent System Operator,Demand,26488.0
2023-01-10 22:00:00,CISO,California Independent System Operator,Demand,26615.0
2023-01-10 23:00:00,CISO,California Independent System Operator,Demand,26207.0
2023-01-11 00:00:00,CISO,California Independent System Operator,Demand,25524.0
2023-01-11 01:00:00,CISO,California Independent System Operator,Demand,25670.0
2023-01-11 02:00:00,CISO,California Independent System Operator,Demand,26579.0
2023-01-11 03:00:00,CISO,California Independent System Operator,Demand,28332.0
2023-01-11 04:00:00,CISO,California Independent System Operator,Demand,28445.0
2023-01-11 05:00:00,CISO,California Independent System Operator,Demand,27840.0
2023-01-11 06:00:00,CISO,California Independent System Operator,Demand,27229.0
2023-01-11 07:00:00,CISO,California Independent System Operator,Demand,26229.0
2023-01-11 08:00:00,CISO,California Independent System Operator,Demand,24734.0
2023-01-11 09:00:00,CISO,California Independent System Operator,Demand,23699.0
2023-01-11 10:00:00,CISO,California Independent System Operator,Demand,22746.0
2023-01-11 11:00:00,CISO,California Independent System Operator,Demand,22023.0
2023-01-11 12:00:00,CISO,California Independent System Operator,Demand,21942.0
2023-01-11 13:00:00,CISO,California Independent System Operator,Demand,21733.0
