Feature,Importance
demand_lag_1,0.830782
demand_lag_24,0.07546793
is_weekend,0.026917385
hour,0.017739868
day_of_week,0.008027932
demand_lag_168,0.0065380954
quarter,0.0060486095
temp_max,0.0022760977
month,0.0020911922
demand_roll_24,0.0020282785
precip_lax,0.001952185
temp_average,0.0019137146
temp_range,0.0018370439
day_of_year,0.0016577794
humidity_sac,0.0015229309
humidity_fresno,0.0014807696
humidity_lax,0.001231572
demand_roll_168,0.0012280833
humidity_san_diego,0.0012173858
humidity_sfo,0.001166275
wind_san_diego,0.0010448162
wind_lax,0.0008337012
temp_min,0.000809135
wind_sfo,0.00080898963
precip_san_diego,0.0007319159
wind_fresno,0.0006596815
wind_sac,0.0006125752
precip_sfo,0.00056274113
precip_fresno,0.0004743774
precip_sac,0.0003370833
