period,respondent,respondent-name,type,type-name,value,value-units
2023-01-01T00,CISO,California Independent System Operator,D,Demand,24007,megawatthours
2023-01-01T01,CISO,California Independent System Operator,D,Demand,24546,megawatthours
2023-01-01T02,CISO,California Independent System Operator,D,Demand,25344,megawatthours
2023-01-01T03,CISO,California Independent System Operator,D,Demand,26468,megawatthours
2023-01-01T04,CISO,California Independent System Operator,D,Demand,26047,megawatthours
2023-01-01T05,CISO,California Independent System Operator,D,Demand,25240,megawatthours
2023-01-01T06,CISO,California Independent System Operator,D,Demand,24466,megawatthours
2023-01-01T07,CISO,California Independent System Operator,D,Demand,23858,megawatthours
2023-01-01T08,CISO,California Independent System Operator,D,Demand,23133,megawatthours
2023-01-01T09,CISO,California Independent System Operator,D,Demand,22049,megawatthours
2023-01-01T10,CISO,California Independent System Operator,D,Demand,21298,megawatthours
2023-01-01T11,CISO,California Independent System Operator,D,Demand,20807,megawatthours
2023-01-01T12,CISO,California Independent System Operator,D,Demand,20301,megawatthours
2023-01-01T13,CISO,California Independent System Operator,D,Demand,19927,megawatthours
2023-01-01T14,CISO,California Independent System Operator,D,Demand,19979,megawatthours
2023-01-01T15,CISO,California Independent System Operator,D,Demand,20278,megawatthours
2023-01-01T16,CISO,California Independent System Operator,D,Demand,20653,megawatthours
2023-01-01T17,CISO,California Independent System Operator,D,Demand,20607,megawatthours
2023-01-01T18,CISO,California Independent System Operator,D,Demand,20033,megawatthours
2023-01-01T19,CISO,California Independent System Operator,D,Demand,19461,megawatthours
2023-01-01T20,CISO,California Independent System Operator,D,Demand,19279,megawatthours
2023-01-01T21,CISO,California Independent System Operator,D,Demand,19297,megawatthours
2023-01-01T22,CISO,California Independent System Operator,D,Demand,19275,megawatthours
2023-01-01T23,CISO,California Independent System Operator,D,Demand,19596,megawatthours
2023-01-02T00,CISO,California Independent System Operator,D,Demand,19644,megawatthours
2023-01-02T01,CISO,California Independent System Operator,D,Demand,20649,megawatthours
2023-01-02T02,CISO,California Independent System Operator,D,Demand,22399,megawatthours
2023-01-02T03,CISO,California Independent System Operator,D,Demand,24778,megawatthours
2023-01-02T04,CISO,California Independent System Operator,D,Demand,25166,megawatthours
2023-01-02T05,CISO,California Independent System Operator,D,Demand,25110,megawatthours
2023-01-02T06,CISO,California Independent System Operator,D,Demand,24640,megawatthours
2023-01-02T07,CISO,California Independent System Operator,D,Demand,24259,megawatthours
2023-01-02T08,CISO,California Independent System Operator,D,Demand,23210,megawatthours
2023-01-02T09,CISO,California Independent System Operator,D,Demand,21897,megawatthours
2023-01-02T10,CISO,California Independent System Operator,D,Demand,21483,megawatthours
2023-01-02T11,CISO,California Independent System Operator,D,Demand,20773,megawatthours
2023-01-02T12,CISO,California Independent System Operator,D,Demand,20329,megawatthours
2023-01-02T13,CISO,California Independent System Operator,D,Demand,20335,megawatthours
2023-01-02T14,CISO,California Independent System Operator,D,Demand,20527,megawatthours
2023-01-02T15,CISO,California Independent System Operator,D,Demand,21468,megawatthours
2023-01-02T16,CISO,California Independent System Operator,D,Demand,22710,megawatthours
2023-01-02T17,CISO,California Independent System Operator,D,Demand,23098,megawatthours
2023-01-02T18,CISO,California Independent System Operator,D,Demand,22971,megawatthours
2023-01-02T19,CISO,California Independent System Operator,D,Demand,23346,megawatthours
2023-01-02T20,CISO,California Independent System Operator,D,Demand,23474,megawatthours
2023-01-02T21,CISO,California Independent System Operator,D,Demand,24281,megawatthours
2023-01-02T22,CISO,California Independent System Operator,D,Demand,24429,megawatthours
2023-01-02T23,CISO,California Independent System Operator,D,Demand,25190,megawatthours
2023-01-03T00,CISO,California Independent System Operator,D,Demand,25918,megawatthours
2023-01-03T01,CISO,California Independent System Operator,D,Demand,26121,megawatthours
2023-01-03T02,CISO,California Independent System Operator,D,Demand,27310,megawatthours
2023-01-03T03,CISO,California Independent System Operator,D,Demand,28567,megawatthours
2023-01-03T04,CISO,California Independent System Operator,D,Demand,28396,megawatthours
2023-01-03T05,CISO,California Independent System Operator,D,Demand,27724,megawatthours
2023-01-03T06,CISO,California Independent System Operator,D,Demand,26872,megawatthours
2023-01-03T07,CISO,California Independent System Operator,D,Demand,26019,megawatthours
2023-01-03T08,CISO,California Independent System Operator,D,Demand,24535,megawatthours
2023-01-03T09,CISO,California Independent System Operator,D,Demand,23243,megawatthours
2023-01-03T10,CISO,California Independent System Operator,D,Demand,22414,megawatthours
2023-01-03T11,CISO,California Independent System Operator,D,Demand,21928,megawatthours
2023-01-03T12,CISO,California Independent System Operator,D,Demand,21828,megawatthours
2023-01-03T13,CISO,California Independent System Operator,D,Demand,21641,megawatthours
2023-01-03T14,CISO,California Independent System Operator,D,Demand,21683,megawatthours
2023-01-03T15,CISO,California Independent System Operator,D,Demand,22990,megawatthours
2023-01-03T16,CISO,California Independent System Operator,D,Demand,24875,megawatthours
2023-01-03T17,CISO,California Independent System Operator,D,Demand,26168,megawatthours
2023-01-03T18,CISO,California Independent System Operator,D,Demand,26992,megawatthours
2023-01-03T19,CISO,California Independent System Operator,D,Demand,26883,megawatthours
2023-01-03T20,CISO,California Independent System Operator,D,Demand,26827,megawatthours
2023-01-03T21,CISO,California Independent System Operator,D,Demand,26337,megawatthours
2023-01-03T22,CISO,California Independent System Operator,D,Demand,26407,megawatthours
2023-01-03T23,CISO,California Independent System Operator,D,Demand,26301,megawatthours
2023-01-04T00,CISO,California Independent System Operator,D,Demand,26099,megawatthours
2023-01-04T01,CISO,California Independent System Operator,D,Demand,26638,megawatthours
2023-01-04T02,CISO,California Independent System Operator,D,Demand,27617,megawatthours
2023-01-04T03,CISO,California Independent System Operator,D,Demand,29102,megawatthours
2023-01-04T04,CISO,California Independent System Operator,D,Demand,28764,megawatthours
2023-01-04T05,CISO,California Independent System Operator,D,Demand,28294,megawatthours
2023-01-04T06,CISO,California Independent System Operator,D,Demand,27589,megawatthours
2023-01-04T07,CISO,California Independent System Operator,D,Demand,26630,megawatthours
2023-01-04T08,CISO,California Independent System Operator,D,Demand,25085,megawatthours
2023-01-04T09,CISO,California Independent System Operator,D,Demand,23884,megawatthours
2023-01-04T10,CISO,California Independent System Operator,D,Demand,23211,megawatthours
2023-01-04T11,CISO,California Independent System Operator,D,Demand,22651,megawatthours
2023-01-04T12,CISO,California Independent System Operator,D,Demand,22159,megawatthours
2023-01-04T13,CISO,California Independent System Operator,D,Demand,21837,megawatthours
2023-01-04T14,CISO,California Independent System Operator,D,Demand,22127,megawatthours
2023-01-04T15,CISO,California Independent System Operator,D,Demand,22685,megawatthours
2023-01-04T16,CISO,California Independent System Operator,D,Demand,24344,megawatthours
2023-01-04T17,CISO,California Independent System Operator,D,Demand,25546,megawatthours
2023-01-04T18,CISO,California Independent System Operator,D,Demand,26359,megawatthours
2023-01-04T19,CISO,California Independent System Operator,D,Demand,26236,megawatthours
2023-01-04T20,CISO,California Independent System Operator,D,Demand,26413,megawatthours
2023-01-04T21,CISO,California Independent System Operator,D,Demand,26235,megawatthours
2023-01-04T22,CISO,California Independent System Operator,D,Demand,26001,megawatthours
2023-01-04T23,CISO,California Independent System Operator,D,Demand,25879,megawatthours
2023-01-05T00,CISO,California Independent System Operator,D,Demand,25564,megawatthours
2023-01-05T01,CISO,California Independent System Operator,D,Demand,25674,megawatthours
2023-01-05T02,CISO,California Independent System Operator,D,Demand,26690,megawatthours
2023-01-05T03,CISO,California Independent System Operator,D,Demand,28147,megawatthours
2023-01-05T04,CISO,California Independent System Operator,D,Demand,28017,megawatthours
2023-01-05T05,CISO,California Independent System Operator,D,Demand,27209,megawatthours
2023-01-05T06,CISO,California Independent System Operator,D,Demand,26516,megawatthours
2023-01-05T07,CISO,California Independent System Operator,D,Demand,25527,megawatthours
2023-01-05T08,CISO,California Independent System Operator,D,Demand,24112,megawatthours
2023-01-05T09,CISO,California Independent System Operator,D,Demand,23450,megawatthours
2023-01-05T10,CISO,California Independent System Operator,D,Demand,22655,megawatthours
2023-01-05T11,CISO,California Independent System Operator,D,Demand,22219,megawatthours
2023-01-05T12,CISO,California Independent System Operator,D,Demand,21701,megawatthours
2023-01-05T13,CISO,California Independent System Operator,D,Demand,21073,megawatthours
2023-01-05T14,CISO,California Independent System Operator,D,Demand,20951,megawatthours
2023-01-05T15,CISO,California Independent System Operator,D,Demand,21804,megawatthours
2023-01-05T16,CISO,California Independent System Operator,D,Demand,23725,megawatthours
